session,bioguideId,billid,billtype,,
113,R000146,1,S,,
113,R000146,2,S,,
113,R000146,3,S,,
113,R000146,4,S,,
113,R000146,5,S,,
113,R000146,6,S,,
113,R000146,7,S,,
113,R000146,8,S,,
113,R000146,9,S,,
113,R000146,10,S,,
113,C001071,11,S,,
113,C000542,12,S,,
113,G000359,13,S,,
113,M001153,14,S,,
113,P000603,15,S,,
113,I000024,16,S,,
113,V000127,17,S,,
113,A000368,18,S,,
113,C001056,19,S,,
113,V000127,20,S,,
113,R000361,21,S,,
113,L000123,22,S,,
113,L000261,23,S,,
113,P000449,24,S,,
113,H000338,25,S,,
113,H000338,26,S,,
113,H000338,27,S,,
113,H000338,28,S,,
113,P000449,29,S,,
113,A000368,30,S,,
113,A000368,31,S,,
113,P000449,32,S,,
113,L000123,33,S,,
113,L000123,34,S,,
113,L000123,35,S,,
113,S000148,36,S,,
113,T000464,37,S,,
113,S001181,38,S,,
113,H000206,39,S,,
113,H000338,40,S,,
113,C000127,41,S,,
113,L000174,42,S,,
113,P000449,43,S,,
113,P000449,44,S,,
113,B000711,45,S,,
113,T000461,46,S,,
113,L000174,47,S,,
113,K000148,48,S,,
113,S001181,49,S,,
113,B000711,50,S,,
113,B000711,51,S,,
113,B000711,52,S,,
113,B000711,53,S,,
113,L000174,54,S,,
113,B000711,55,S,,
113,B000711,56,S,,
113,B000711,57,S,,
113,B000711,58,S,,
113,B000711,59,S,,
113,B000711,60,S,,
113,B000711,61,S,,
113,B000711,62,S,,
113,G000555,63,S,,
113,V000127,64,S,,
113,V000127,65,S,,
113,V000127,66,S,,
113,L000123,67,S,,
113,L000123,68,S,,
113,L000261,69,S,,
113,L000261,70,S,,
113,L000261,71,S,,
113,L000261,72,S,,
113,L000261,73,S,,
113,L000261,74,S,,
113,L000261,75,S,,
113,L000261,76,S,,
113,F000457,77,S,,
113,L000261,78,S,,
113,L000261,79,S,,
113,C001056,80,S,,
113,P000603,81,S,,
113,P000603,82,S,,
113,P000603,83,S,,
113,M000702,84,S,,
113,C001088,85,S,,
113,V000127,86,S,,
113,V000127,87,S,,
113,V000127,88,S,,
113,V000127,89,S,,
113,V000127,90,S,,
113,V000127,91,S,,
113,V000127,92,S,,
113,V000127,93,S,,
113,V000127,94,S,,
113,V000127,95,S,,
113,V000127,96,S,,
113,V000127,97,S,,
113,V000127,98,S,,
113,V000127,99,S,,
113,V000127,100,S,,
113,V000127,101,S,,
113,V000127,102,S,,
113,C000141,103,S,,
113,V000127,104,S,,
113,V000127,105,S,,
113,V000127,106,S,,
113,V000127,107,S,,
113,V000127,108,S,,
113,V000127,109,S,,
113,V000127,110,S,,
113,V000127,111,S,,
113,M001111,112,S,,
113,D000563,113,S,,
113,D000563,114,S,,
113,C001070,115,S,,
113,R000122,116,S,,
113,K000367,117,S,,
113,C000560,118,S,,
113,B000711,119,S,,
113,B000711,120,S,,
113,B000711,121,S,,
113,C000286,122,S,,
113,G000555,123,S,,
113,H001041,124,S,,
113,B000944,125,S,,
113,T000461,126,S,,
113,H001041,127,S,,
113,C001070,128,S,,
113,W000802,129,S,,
113,E000285,130,S,,
113,M001111,131,S,,
113,C000174,132,S,,
113,R000307,133,S,,
113,R000361,134,S,,
113,V000127,135,S,,
113,V000127,136,S,,
113,V000127,137,S,,
113,V000127,138,S,,
113,V000127,139,S,,
113,B000243,140,S,,
113,B000243,141,S,,
113,C001070,142,S,,
113,C001070,143,S,,
113,C001070,144,S,,
113,B000711,145,S,,
113,B000711,146,S,,
113,B000711,147,S,,
113,B000711,148,S,,
113,K000367,149,S,,
113,F000062,150,S,,
113,J000291,151,S,,
113,M001153,152,S,,
113,B001265,153,S,,
113,C000560,154,S,,
113,M001153,155,S,,
113,M001153,156,S,,
113,M001153,157,S,,
113,P000603,158,S,,
113,H001041,159,S,,
113,M001176,160,S,,
113,T000464,161,S,,
113,F000457,162,S,,
113,V000127,163,S,,
113,P000603,164,S,,
113,C000880,165,S,,
113,M001170,166,S,,
113,V000127,167,S,,
113,H000206,168,S,,
113,H000338,169,S,,
113,M001153,170,S,,
113,U000038,171,S,,
113,M001176,172,S,,
113,S000320,173,S,,
113,B001277,174,S,,
113,R000307,175,S,,
113,V000127,176,S,,
113,C001098,177,S,,
113,C001056,178,S,,
113,G000555,179,S,,
113,B001261,180,S,,
113,M001153,181,S,,
113,M001153,182,S,,
113,M001170,183,S,,
113,A000368,184,S,,
113,A000368,185,S,,
113,S000320,186,S,,
113,M001176,187,S,,
113,B000575,188,S,,
113,U000038,189,S,,
113,J000291,190,S,,
113,R000307,191,S,,
113,B001261,192,S,,
113,C001088,193,S,,
113,D000563,194,S,,
113,F000457,195,S,,
113,U000039,196,S,,
113,F000062,197,S,,
113,R000584,198,S,,
113,B001265,199,S,,
113,M001153,200,S,,
113,P000603,201,S,,
113,G000386,202,S,,
113,P000449,203,S,,
113,P000603,204,S,,
113,M000934,205,S,,
113,C001035,206,S,,
113,I000024,207,S,,
113,F000062,208,S,,
113,P000603,209,S,,
113,H001041,210,S,,
113,H000338,211,S,,
113,C000567,212,S,,
113,H001041,213,S,,
113,K000367,214,S,,
113,C001071,215,S,,
113,L000123,216,S,,
113,M001111,217,S,,
113,L000261,218,S,,
113,C001070,219,S,,
113,N000032,220,S,,
113,A000368,221,S,,
113,U000039,222,S,,
113,M000702,223,S,,
113,F000062,224,S,,
113,F000062,225,S,,
113,T000464,226,S,,
113,L000174,227,S,,
113,F000062,228,S,,
113,T000461,229,S,,
113,P000449,230,S,,
113,P000449,231,S,,
113,H000338,232,S,,
113,G000555,233,S,,
113,R000146,234,S,,
113,M001153,235,S,,
113,M001153,236,S,,
113,M001153,237,S,,
113,L000577,238,S,,
113,M001153,239,S,,
113,T000464,240,S,,
113,U000039,241,S,,
113,B001135,242,S,,
113,B001267,243,S,,
113,H001061,244,S,,
113,K000367,245,S,,
113,B001265,246,S,,
113,C000141,247,S,,
113,B001265,248,S,,
113,M000639,249,S,,
113,S000033,250,S,,
113,F000444,251,S,,
