from,to,weight,congress,bill_type,bill_no
L000174,R000146,0.06666666666666667,113,S,1
M000639,R000146,0.06666666666666667,113,S,1
D000563,R000146,0.06666666666666667,113,S,1
S000148,R000146,0.06666666666666667,113,S,1
H001042,R000146,0.06666666666666667,113,S,1
S001194,R000146,0.06666666666666667,113,S,1
B000944,R000146,0.06666666666666667,113,S,1
F000062,R000146,0.06666666666666667,113,S,1
C001088,R000146,0.06666666666666667,113,S,1
G000555,R000146,0.06666666666666667,113,S,1
B001277,R000146,0.06666666666666667,113,S,1
K000367,R000146,0.06666666666666667,113,S,1
B000711,R000146,0.06666666666666667,113,S,1
L000261,R000146,0.06666666666666667,113,S,1
H001046,R000146,0.06666666666666667,113,S,1
S000770,R000146,0.05555555555555555,113,S,10
D000563,R000146,0.05555555555555555,113,S,10
S000148,R000146,0.05555555555555555,113,S,10
J000177,R000146,0.05555555555555555,113,S,10
L000174,R000146,0.05555555555555555,113,S,10
B000243,R000146,0.05555555555555555,113,S,10
B001267,R000146,0.05555555555555555,113,S,10
B000944,R000146,0.05555555555555555,113,S,10
T000464,R000146,0.05555555555555555,113,S,10
C001070,R000146,0.05555555555555555,113,S,10
H000206,R000146,0.05555555555555555,113,S,10
S001194,R000146,0.05555555555555555,113,S,10
H001069,R000146,0.05555555555555555,113,S,10
K000367,R000146,0.05555555555555555,113,S,10
C001088,R000146,0.05555555555555555,113,S,10
D000607,R000146,0.05555555555555555,113,S,10
L000261,R000146,0.05555555555555555,113,S,10
F000457,R000146,0.05555555555555555,113,S,10
C000174,R000146,0.047623022001892605,113,S,10
K000384,W000805,1,113,S,1000
K000360,C001056,0.0625,113,S,1001
C001098,C001056,0.0625,113,S,1001
B000575,C001056,0.0625,113,S,1001
R000307,C001056,0.0625,113,S,1001
C000286,C001056,0.0625,113,S,1001
R000584,C001056,0.0625,113,S,1001
C000542,C001056,0.0625,113,S,1001
G000359,C001056,0.0625,113,S,1001
W000437,C001056,0.0625,113,S,1001
F000463,C001056,0.0625,113,S,1001
B001236,C001056,0.0625,113,S,1001
C000880,C001056,0.0625,113,S,1001
I000055,C001056,0.0625,113,S,1001
H001061,C001056,0.0625,113,S,1001
R000595,C001056,0.0625,113,S,1001
V000127,C001056,0.0625,113,S,1001
P000449,C001056,0.05026874544644219,113,S,1001
L000577,C001056,0.05026874544644219,113,S,1001
S001184,C001056,0.0430910922672622,113,S,1001
H000338,C001056,0.0370409110340859,113,S,1001
I000055,M000639,1,113,S,1002
B001135,C000560,0.3333333333333333,113,S,1003
A000360,C000560,0.3333333333333333,113,S,1003
I000055,C000560,0.3333333333333333,113,S,1003
H001041,C000560,0.22620935450898988,113,S,1003
K000360,C000560,0.16374615061559636,113,S,1003
U000039,P000449,0.5,113,S,1005
W000802,P000449,0.5,113,S,1005
M000702,P000449,0.30161247267865315,113,S,1005
S001141,B001261,0.038461538461538464,113,S,1006
V000127,B001261,0.038461538461538464,113,S,1006
C000880,B001261,0.038461538461538464,113,S,1006
I000024,B001261,0.038461538461538464,113,S,1006
B000575,B001261,0.038461538461538464,113,S,1006
C000542,B001261,0.038461538461538464,113,S,1006
R000584,B001261,0.038461538461538464,113,S,1006
M001153,B001261,0.038461538461538464,113,S,1006
G000386,B001261,0.038461538461538464,113,S,1006
W000437,B001261,0.038461538461538464,113,S,1006
R000595,B001261,0.038461538461538464,113,S,1006
E000285,B001261,0.038461538461538464,113,S,1006
H001041,B001261,0.038461538461538464,113,S,1006
R000307,B001261,0.038461538461538464,113,S,1006
H000338,B001261,0.038461538461538464,113,S,1006
M000303,B001261,0.038461538461538464,113,S,1006
L000577,B001261,0.038461538461538464,113,S,1006
J000293,B001261,0.038461538461538464,113,S,1006
F000463,B001261,0.038461538461538464,113,S,1006
C000286,B001261,0.038461538461538464,113,S,1006
B001135,B001261,0.038461538461538464,113,S,1006
I000055,B001261,0.038461538461538464,113,S,1006
S001184,B001261,0.038461538461538464,113,S,1006
F000444,B001261,0.038461538461538464,113,S,1006
C001056,B001261,0.038461538461538464,113,S,1006
C000560,B001261,0.038461538461538464,113,S,1006
C000567,B001261,0.0335124969642948,113,S,1006
C001035,K000383,1,113,S,1007
S001181,K000383,0.45241870901797976,113,S,1007
F000457,K000383,0.20468268826949546,113,S,1007
S000033,K000383,0.20468268826949546,113,S,1007
M001176,K000383,0.1481636441363436,113,S,1007
B001265,K000383,0.11172000767260655,113,S,1007
G000555,S000148,0.25,113,S,1008
L000123,S000148,0.25,113,S,1008
M000639,S000148,0.25,113,S,1008
M001153,S000148,0.25,113,S,1008
M000133,S000148,0.1809674836071919,113,S,1008
S001194,S000148,0.13645512551299696,113,S,1008
H001042,S000148,0.10583117438310255,113,S,1008
B001265,S000148,0.08379000575445492,113,S,1008
V000127,L000123,0.0625,113,S,1009
